23 Sep 2019 18:55:07, Gen 1, Species 0, finished with a score of 0.00
23 Sep 2019 18:55:07, Gen 1, Species 1, finished with a score of 0.00
23 Sep 2019 18:55:07, Gen 1, Species 2, finished with a score of 0.00
23 Sep 2019 18:55:07, Gen 1, Species 3, finished with a score of 0.00
23 Sep 2019 18:55:07, Gen 1, Species 4, finished with a score of 0.00
23 Sep 2019 18:55:08, Gen 2, Species 0, finished with a score of 0.00
23 Sep 2019 18:55:08, Gen 2, Species 1, finished with a score of 0.00
23 Sep 2019 18:55:09, Gen 2, Species 2, finished with a score of 0.00
23 Sep 2019 18:55:09, Gen 2, Species 3, finished with a score of 0.00
23 Sep 2019 18:55:09, Gen 2, Species 4, finished with a score of 0.00
23 Sep 2019 18:55:10, Gen 3, Species 0, finished with a score of 0.00
23 Sep 2019 18:55:10, Gen 3, Species 1, finished with a score of 0.00
23 Sep 2019 18:55:10, Gen 3, Species 2, finished with a score of 0.00
23 Sep 2019 18:55:10, Gen 3, Species 3, finished with a score of 0.00
23 Sep 2019 18:55:11, Gen 3, Species 4, finished with a score of 0.00
23 Sep 2019 18:55:12, Gen 4, Species 0, finished with a score of 0.00
23 Sep 2019 18:55:12, Gen 4, Species 1, finished with a score of 0.00
23 Sep 2019 18:55:12, Gen 4, Species 2, finished with a score of 0.00
23 Sep 2019 18:55:13, Gen 4, Species 3, finished with a score of 0.00
23 Sep 2019 18:55:13, Gen 4, Species 4, finished with a score of 0.00
23 Sep 2019 18:55:14, Gen 5, Species 0, finished with a score of 0.00
23 Sep 2019 18:55:14, Gen 5, Species 1, finished with a score of 0.00
23 Sep 2019 18:55:14, Gen 5, Species 2, finished with a score of 0.00
23 Sep 2019 18:55:14, Gen 5, Species 3, finished with a score of 0.00
23 Sep 2019 18:55:15, Gen 5, Species 4, finished with a score of 0.00
23 Sep 2019 18:55:16, Gen 6, Species 0, finished with a score of 0.00
23 Sep 2019 18:55:16, Gen 6, Species 1, finished with a score of 0.00
23 Sep 2019 18:55:16, Gen 6, Species 2, finished with a score of 0.00
23 Sep 2019 18:55:17, Gen 6, Species 3, finished with a score of 0.00
23 Sep 2019 18:55:17, Gen 6, Species 4, finished with a score of 0.00
23 Sep 2019 18:55:18, Gen 7, Species 0, finished with a score of 0.00
23 Sep 2019 18:55:19, Gen 7, Species 1, finished with a score of 0.00
23 Sep 2019 18:55:19, Gen 7, Species 2, finished with a score of 0.00
